T,Solar,Wind,Price
190,0,0.379836547,57.81
191,0,0.442392947,52.85
192,0,0.10660762,50.84
193,0,0.232297276,48.83
194,0,0.075135959,40.48
195,0,0.053499633,37.48
196,0,0.052552105,36.72
197,0,0.044196719,36.72
198,0,0.049131519,36.72
199,0,0.03194268,49.86
200,0,0.039664591,53.04
201,0.1584,0.045239443,64.43
202,0.3603,0.015835753,64.42
203,0.4586,0,64.42
204,0.4847,0,59.69
205,0.5907,0,59.69
206,0.7654,0,64.42
207,0.5757,0.045951365,59.69
208,0.4019,0.162653572,64.42
209,0.1541,0.393010507,69.75
210,0,0.82885915,168.08
211,0,0.928642552,163.73
212,0,0.707711796,70.25
213,0,0.632555099,67.68
214,0,0.627433854,64.42
215,0,0.592268523,52.92
216,0,0.636928114,50.57
217,0,0.560030524,49.75
218,0,0.497163236,37.46
219,0,0.614024153,36.64
220,0,0.640676353,36.3
221,0,0.303200588,36.3
222,0,0.313424255,36.3
223,0,0.215801763,47.88
224,0,0.337804461,51.92
225,0.1709,0.402154876,66.2
226,0.3428,0.221742852,63.58
227,0.4545,0.345047605,63.58
228,0.5223,0.209680477,63.58
229,0.5971,0.302449465,63.58
230,0.6098,0.381211673,63.58
231,0.5176,0.332611114,63.58
232,0.3503,0.639091395,65.7
233,0.1105,0.622733827,67.41
234,0,0.482411677,143.77
235,0,0.752339625,87.5
236,0,0.339080726,87.51
237,0,0.323891525,73.9
238,0,0.349602927,73.88
239,0,0.367194037,63.1
240,0,0.469815334,63.1
241,0,0.140721755,60.71
242,0,0.067515592,60.33
243,0,0.013379003,60.33
244,0,0.014155713,44.78
245,0,0.022107458,43.58
246,0,0.034038813,50.48
247,0,0.054090784,42.75
248,0,0.014600319,77.21
249,0.1904,0,82.94
250,0.3998,0,82.94
251,0.5013,0,82.94
252,0.5482,0,77.32
253,0.5471,0.00E+00,77.32
254,0.5638,0,77.32
255,0.4942,0,77.21
256,0.358,0.021049223,77.21
257,0.1237,0.058003153,77.21
258,0,0.346917895,87.27
259,0,0.436182211,99.89
260,0,0.223731669,110.82
261,0,0.27667383,96.09
262,0,0.131836302,53.96
263,0,0.112874969,51.46
264,0,0.205990725,53.7
265,0,0.32624147,51.18
266,0,0.439193012,41.6
267,0,0.662462307,37.41
268,0,0.957455735,36.07
269,0,0.764074098,36.07
270,0,0.829996394,36.07
271,0,0.999801884,35.6
272,0,0.970770408,35.6
273,0,0.993929329,50.9
274,0.0026,0.990399625,51.07
275,0.0598,0.97569397,60.79
276,0.1045,0.999903204,65.06
277,0.0515,1,65.06
278,0.0671,0.999670533,65.06
279,0.1956,0.93971496,65.06
280,0.1553,0.792230054,62.67
281,0.0357,0.47063982,65.06
282,0,0.469468622,81.56
283,0,0.212717589,283.72
284,0,0.184114718,71.37
285,0,0.085662138,71.37
286,0,0.01956155,71.37
287,0,0,62.25
288,0,0,62.25
289,0,0,62.25
290,0,0,52.94
291,0,0,46.4
292,0,0.015501326,46.4
293,0,0.015105464,44.28
294,0,0.023244181,44.28
295,0,0.371923261,41.62
296,0,0.205217892,41.62
297,0.0041,0.312666565,40.86
298,0.0805,0.282813112,54.43
299,0.2869,0.347162564,55.27
300,0.4127,0.262056324,61.87
301,0.5241,0.210792794,61.87
302,0.5732,0.717415669,61.83
303,0.4743,1,61.83
304,0.305,1,60.88
305,0.0978,1,61.79
306,0,1,71.21
307,0,1,281.64
308,0,0.999489373,61.79
309,0,1,61.79
310,0,1,61.75
311,0,1,55.27
312,0,0.99249299,53.61
313,0,0.995122434,41.62
314,0,0.998762753,39.31
315,0,0.993904846,38.98
316,0,0.997986139,37.91
317,0,0.998034253,34.71
318,0,0.993578287,34.71
319,0,0.947398945,41.98
320,0,0.448373273,47.31
321,0.1892,0.359039295,58.09
322,0.3808,0.798281059,55.95
